id_persediaan,kode_barang,tanggal_masuk,stok_awal,stok_akhir
1,BRG001,01/02/2023,100,80
2,BRG002,01/03/2023,150,120
3,BRG003,01/04/2023,200,150
4,BRG004,01/05/2023,50,30
5,BRG005,01/06/2023,300,270
6,BRG006,01/07/2023,120,100
7,BRG007,01/08/2023,80,70
8,BRG008,01/09/2023,180,160
9,BRG009,01/10/2023,60,50
10,BRG010,01/11/2023,90,85
11,BRG011,01/12/2023,110,100
12,BRG012,01/13/2023,130,115
13,BRG013,01/14/2023,70,60
14,BRG014,01/15/2023,140,130
15,BRG015,01/16/2023,220,190
16,BRG016,01/17/2023,60,45
17,BRG017,01/18/2023,160,140
18,BRG018,01/19/2023,50,40
19,BRG019,01/20/2023,180,150
20,BRG020,01/21/2023,90,80
